epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,618.813,1.19954,0.89129,1.06243,0.92954,0.95603,0.93784,0.608,1.33259,0.68831,1.12627,0.00303146,0.00101049,0.00303146,0.00101049,0.00303146,0.00101049,0.00303146,0.00101049
31,639.128,1.18383,0.86764,1.05741,0.91372,0.95331,0.92522,0.61018,1.306,0.68988,1.11804,0.00298483,0.000994942,0.00298483,0.000994942,0.00298483,0.000994942,0.00298483,0.000994942
32,659.51,1.15588,0.85221,1.05121,0.88906,0.96029,0.90886,0.59849,1.27962,0.68346,1.12114,0.00293712,0.000979039,0.00293712,0.000979039,0.00293712,0.000979039,0.00293712,0.000979039
33,679.856,1.16156,0.85067,1.05142,0.90074,0.96532,0.9414,0.60917,1.2724,0.68322,1.12078,0.00288838,0.000962793,0.00288838,0.000962793,0.00288838,0.000962793,0.00288838,0.000962793
34,700.252,1.14603,0.82408,1.0404,0.92234,0.95531,0.93369,0.60037,1.32788,0.6917,1.12313,0.00283866,0.000946219,0.00283866,0.000946219,0.00283866,0.000946219,0.00283866,0.000946219
35,720.611,1.15228,0.81253,1.04576,0.92931,0.95554,0.93074,0.62001,1.27684,0.67719,1.11409,0.00278801,0.000929335,0.00278801,0.000929335,0.00278801,0.000929335,0.00278801,0.000929335
36,740.995,1.14557,0.82393,1.04139,0.91308,0.96465,0.92966,0.60966,1.32002,0.69582,1.13788,0.00273647,0.000912157,0.00273647,0.000912157,0.00273647,0.000912157,0.00273647,0.000912157
37,761.47,1.15032,0.81659,1.04626,0.92446,0.95429,0.92013,0.60169,1.2613,0.66464,1.10034,0.0026841,0.000894701,0.0026841,0.000894701,0.0026841,0.000894701,0.0026841,0.000894701
38,781.849,1.15324,0.80764,1.04943,0.92523,0.95313,0.92182,0.59899,1.30358,0.66115,1.11524,0.00263096,0.000876985,0.00263096,0.000876985,0.00263096,0.000876985,0.00263096,0.000876985
39,801.797,1.14792,0.8124,1.04927,0.91418,0.96164,0.921,0.59531,1.31011,0.65775,1.12512,0.00257708,0.000859027,0.00257708,0.000859027,0.00257708,0.000859027,0.00257708,0.000859027
40,821.929,1.12971,0.76743,1.04569,0.93019,0.95531,0.92834,0.60034,1.29606,0.65289,1.13265,0.00252253,0.000840844,0.00252253,0.000840844,0.00252253,0.000840844,0.00252253,0.000840844
41,841.987,1.11944,0.76178,1.0371,0.92439,0.95208,0.92543,0.60364,1.29742,0.65531,1.12137,0.00246736,0.000822454,0.00246736,0.000822454,0.00246736,0.000822454,0.00246736,0.000822454
42,862.114,1.11136,0.76387,1.0281,0.92199,0.95722,0.92101,0.59932,1.31057,0.66438,1.12974,0.00241163,0.000803876,0.00241163,0.000803876,0.00241163,0.000803876,0.00241163,0.000803876
43,882.161,1.11409,0.73358,1.0308,0.9265,0.94751,0.93291,0.6211,1.2978,0.6398,1.12192,0.00235538,0.000785127,0.00235538,0.000785127,0.00235538,0.000785127,0.00235538,0.000785127
44,902.168,1.12239,0.75856,1.03587,0.91539,0.96088,0.92489,0.61236,1.25774,0.66267,1.12169,0.00229868,0.000766226,0.00229868,0.000766226,0.00229868,0.000766226,0.00229868,0.000766226
45,922.191,1.09985,0.73913,1.02933,0.91425,0.95015,0.92813,0.6124,1.25075,0.6573,1.09768,0.00224158,0.000747192,0.00224158,0.000747192,0.00224158,0.000747192,0.00224158,0.000747192
46,942.18,1.10355,0.73334,1.02888,0.91008,0.94962,0.93086,0.61676,1.28406,0.65939,1.11574,0.00218413,0.000728044,0.00218413,0.000728044,0.00218413,0.000728044,0.00218413,0.000728044
47,962.233,1.09363,0.70885,1.01792,0.93058,0.94986,0.92832,0.62276,1.25398,0.63668,1.10316,0.0021264,0.0007088,0.0021264,0.0007088,0.0021264,0.0007088,0.0021264,0.0007088
48,982.308,1.08417,0.71171,1.02399,0.91933,0.96394,0.93621,0.62859,1.24695,0.64601,1.09699,0.00206844,0.00068948,0.00206844,0.00068948,0.00206844,0.00068948,0.00206844,0.00068948
49,1002.3,1.09081,0.72733,1.01925,0.91919,0.94589,0.92499,0.62165,1.25079,0.64094,1.09786,0.0020103,0.000670102,0.0020103,0.000670102,0.0020103,0.000670102,0.0020103,0.000670102
50,1022.26,1.09089,0.72713,1.03069,0.91749,0.95936,0.9299,0.63111,1.21055,0.62824,1.09508,0.00195206,0.000650685,0.00195206,0.000650685,0.00195206,0.000650685,0.00195206,0.000650685
51,1042.19,1.09435,0.70665,1.0258,0.92392,0.95698,0.92988,0.63304,1.25676,0.62106,1.11801,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125
52,1062.21,1.07477,0.69084,1.01695,0.92021,0.95162,0.9499,0.65263,1.27315,0.63183,1.10833,0.00183544,0.000611815,0.00183544,0.000611815,0.00183544,0.000611815,0.00183544,0.000611815
53,1082.22,1.06292,0.68606,1.0111,0.91678,0.95951,0.92768,0.62844,1.25161,0.63574,1.09358,0.0017772,0.000592398,0.0017772,0.000592398,0.0017772,0.000592398,0.0017772,0.000592398
