epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,490.117,1.28242,0.71465,1.10335,0.91579,0.94013,0.95208,0.60267,1.45597,0.69022,1.19722,0.000742625,0.000742625,0.000742625
43,503.861,1.30551,0.72145,1.08937,0.89603,0.93177,0.94978,0.61555,1.47274,0.73055,1.20285,0.00073025,0.00073025,0.00073025
44,517.86,1.29288,0.72341,1.07697,0.94896,0.90876,0.94807,0.62025,1.42906,0.69628,1.19877,0.000717875,0.000717875,0.000717875
45,531.807,1.28568,0.71891,1.0886,0.93146,0.92967,0.94885,0.5991,1.45435,0.68075,1.20261,0.0007055,0.0007055,0.0007055
46,545.668,1.26891,0.70442,1.07588,0.9509,0.93381,0.96,0.6177,1.44857,0.69113,1.20284,0.000693125,0.000693125,0.000693125
47,559.111,1.26719,0.71283,1.06579,0.93661,0.91872,0.95,0.59478,1.45297,0.69487,1.20582,0.00068075,0.00068075,0.00068075
48,572.458,1.27831,0.6985,1.078,0.94325,0.93414,0.95483,0.59502,1.47354,0.68913,1.20055,0.000668375,0.000668375,0.000668375
49,585.787,1.26797,0.703,1.06736,0.94699,0.93475,0.94751,0.5958,1.46543,0.6758,1.19585,0.000656,0.000656,0.000656
50,599.622,1.28323,0.69673,1.0854,0.92887,0.92649,0.94814,0.61439,1.44205,0.68647,1.18733,0.000643625,0.000643625,0.000643625
51,613.287,1.29235,0.69744,1.0868,0.95268,0.91613,0.95031,0.61726,1.47007,0.67444,1.19728,0.00063125,0.00063125,0.00063125
52,627.206,1.26039,0.69268,1.06724,0.93123,0.92185,0.94495,0.60353,1.48447,0.70992,1.20001,0.000618875,0.000618875,0.000618875
53,641.133,1.25113,0.67466,1.08049,0.95074,0.93325,0.95281,0.60477,1.44269,0.66294,1.19151,0.0006065,0.0006065,0.0006065
54,655.164,1.24612,0.6854,1.07307,0.91385,0.94343,0.95323,0.60824,1.46085,0.66456,1.19675,0.000594125,0.000594125,0.000594125
55,668.553,1.25981,0.67645,1.06887,0.93863,0.93744,0.95606,0.61135,1.47307,0.6527,1.1963,0.00058175,0.00058175,0.00058175
56,681.847,1.23723,0.67474,1.06867,0.94543,0.92515,0.95639,0.62103,1.40649,0.66542,1.20142,0.000569375,0.000569375,0.000569375
57,695.169,1.25156,0.66818,1.07377,0.94458,0.92333,0.94877,0.60584,1.46108,0.68475,1.19599,0.000557,0.000557,0.000557
58,709.07,1.23942,0.68012,1.06119,0.95191,0.936,0.94718,0.61571,1.42687,0.65875,1.18178,0.000544625,0.000544625,0.000544625
59,722.636,1.22084,0.66911,1.05455,0.95827,0.92916,0.95551,0.62594,1.40971,0.64637,1.18975,0.00053225,0.00053225,0.00053225
60,736.423,1.24572,0.67599,1.06158,0.94691,0.91957,0.95218,0.63432,1.41154,0.65349,1.17432,0.000519875,0.000519875,0.000519875
61,750.255,1.2436,0.68028,1.06123,0.9487,0.92006,0.95473,0.61669,1.47709,0.65329,1.19514,0.0005075,0.0005075,0.0005075
62,764.189,1.23191,0.66699,1.05435,0.94743,0.92665,0.9483,0.61876,1.40409,0.64904,1.17379,0.000495125,0.000495125,0.000495125
63,777.787,1.2193,0.65236,1.05849,0.94388,0.92933,0.95852,0.61668,1.44716,0.66194,1.1996,0.00048275,0.00048275,0.00048275
64,791.071,1.19007,0.655,1.04463,0.95324,0.92644,0.95421,0.62759,1.41986,0.64441,1.18841,0.000470375,0.000470375,0.000470375
65,804.298,1.20431,0.66094,1.05336,0.95235,0.91606,0.95692,0.63256,1.4002,0.63438,1.18828,0.000458,0.000458,0.000458
66,818.168,1.2258,0.65403,1.05717,0.9362,0.93555,0.95149,0.6231,1.40877,0.63966,1.17675,0.000445625,0.000445625,0.000445625
67,831.985,1.20011,0.63968,1.04489,0.9374,0.9244,0.95057,0.61973,1.42798,0.66389,1.17982,0.00043325,0.00043325,0.00043325
68,845.984,1.20931,0.6405,1.06049,0.93594,0.93652,0.95106,0.61874,1.43142,0.65533,1.18615,0.000420875,0.000420875,0.000420875
69,859.961,1.18943,0.63823,1.05135,0.94847,0.91241,0.94855,0.62823,1.44113,0.66045,1.19032,0.0004085,0.0004085,0.0004085
70,873.826,1.17506,0.62664,1.03494,0.949,0.92831,0.96082,0.62512,1.39281,0.63705,1.17794,0.000396125,0.000396125,0.000396125
71,887.206,1.18503,0.62595,1.03643,0.95555,0.91836,0.95687,0.6293,1.41304,0.64184,1.18478,0.00038375,0.00038375,0.00038375
72,900.499,1.18879,0.62506,1.04473,0.93975,0.92644,0.95251,0.63448,1.3917,0.62963,1.17181,0.000371375,0.000371375,0.000371375
73,913.955,1.16003,0.6166,1.04142,0.93189,0.93371,0.95572,0.63916,1.41011,0.6279,1.18389,0.000359,0.000359,0.000359
74,927.833,1.18341,0.62657,1.03374,0.94946,0.91863,0.95488,0.63938,1.41101,0.64342,1.18444,0.000346625,0.000346625,0.000346625
75,941.737,1.16916,0.62571,1.04418,0.94656,0.92209,0.95499,0.63678,1.40279,0.63474,1.17267,0.00033425,0.00033425,0.00033425
76,955.698,1.15065,0.62494,1.04103,0.92905,0.94234,0.955,0.6353,1.39583,0.63659,1.18505,0.000321875,0.000321875,0.000321875
77,969.619,1.16188,0.62294,1.03819,0.93029,0.92699,0.9508,0.63681,1.40594,0.61746,1.1918,0.0003095,0.0003095,0.0003095
78,983.416,1.16134,0.60917,1.03195,0.94026,0.9238,0.95562,0.63373,1.3892,0.6455,1.18385,0.000297125,0.000297125,0.000297125
79,996.625,1.15718,0.62686,1.02724,0.93405,0.9275,0.94969,0.62821,1.40679,0.63318,1.18174,0.00028475,0.00028475,0.00028475
80,1009.85,1.13993,0.60928,1.03203,0.94805,0.92119,0.96129,0.64064,1.39168,0.62016,1.17757,0.000272375,0.000272375,0.000272375
81,1023.54,1.15297,0.6038,1.03669,0.95274,0.92317,0.95489,0.63326,1.39507,0.63185,1.19129,0.00026,0.00026,0.00026
82,1037.34,1.13078,0.60677,1.02538,0.92824,0.94477,0.95221,0.63356,1.37304,0.61824,1.172,0.000247625,0.000247625,0.000247625
83,1051.35,1.14113,0.59934,1.03051,0.94414,0.91765,0.95417,0.63419,1.37398,0.62696,1.17892,0.00023525,0.00023525,0.00023525
84,1065.27,1.13888,0.59815,1.03298,0.93879,0.93173,0.95542,0.63213,1.37803,0.61833,1.17477,0.000222875,0.000222875,0.000222875
85,1079.05,1.14612,0.60768,1.02575,0.9358,0.92414,0.95315,0.6302,1.38532,0.62144,1.17503,0.0002105,0.0002105,0.0002105
86,1092.71,1.14412,0.60796,1.0287,0.94071,0.92869,0.95497,0.63596,1.3691,0.62018,1.17528,0.000198125,0.000198125,0.000198125
87,1106.01,1.10664,0.58033,1.02496,0.93225,0.92805,0.95351,0.63167,1.36626,0.62368,1.17738,0.00018575,0.00018575,0.00018575
88,1119.18,1.13357,0.5871,1.02267,0.94075,0.93818,0.95802,0.63913,1.35708,0.61625,1.17573,0.000173375,0.000173375,0.000173375
89,1133.17,1.09912,0.58736,1.01365,0.94488,0.93716,0.95312,0.63669,1.36572,0.6212,1.17263,0.000161,0.000161,0.000161
90,1146.88,1.10292,0.57189,1.0221,0.92617,0.94677,0.95547,0.63779,1.37115,0.61254,1.1765,0.000148625,0.000148625,0.000148625
91,1161.02,1.10957,0.55756,1.05692,0.91789,0.94666,0.95303,0.63739,1.388,0.6381,1.18969,0.00013625,0.00013625,0.00013625
92,1174.75,1.09178,0.5565,1.04595,0.93002,0.9384,0.95347,0.63633,1.37679,0.62768,1.18241,0.000123875,0.000123875,0.000123875
93,1188.52,1.0735,0.54969,1.03815,0.93164,0.94034,0.95306,0.64037,1.37508,0.61502,1.18024,0.0001115,0.0001115,0.0001115
94,1201.8,1.07421,0.53324,1.03989,0.9346,0.94191,0.95808,0.63644,1.38025,0.6315,1.18086,9.9125e-05,9.9125e-05,9.9125e-05
95,1214.96,1.07441,0.54166,1.04123,0.93074,0.93576,0.95297,0.63875,1.37158,0.62897,1.1767,8.675e-05,8.675e-05,8.675e-05
96,1228.1,1.07414,0.53704,1.03262,0.93919,0.92696,0.95261,0.64309,1.36882,0.62643,1.1805,7.4375e-05,7.4375e-05,7.4375e-05
97,1241.92,1.07104,0.53782,1.04372,0.94313,0.92884,0.95585,0.63965,1.36297,0.62422,1.18348,6.2e-05,6.2e-05,6.2e-05
98,1255.57,1.06079,0.5338,1.03779,0.92725,0.94604,0.95293,0.64442,1.3638,0.62322,1.18103,4.9625e-05,4.9625e-05,4.9625e-05
99,1269.42,1.05651,0.5346,1.02653,0.92517,0.94692,0.95277,0.64321,1.36936,0.62405,1.18441,3.725e-05,3.725e-05,3.725e-05
100,1283.26,1.06334,0.5357,1.03782,0.9316,0.94531,0.95377,0.63968,1.3703,0.62249,1.18672,2.4875e-05,2.4875e-05,2.4875e-05
